key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",reward_Img,Cuml_rew,currentPracticeTrialReward,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",[],,[],0.5,,0,0,0,0,1,,4646.6798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],1.5,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,[],,[],0.5,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,3.6211,,up,1,,7,0,7,0,1,,,,,stimuli/card_100_transparent.png,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,0.7737,,right,1.5,,8,0,8,0,1,,,,,stimuli/card_10_transparent.png,110,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,0.5,,left,1.5,,9,0,9,0,1,,,,,stimuli/card_0_transparent.png,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,0.9788,,up,1,,10,0,10,0,1,,,,,stimuli/card_100_transparent.png,210,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,0.3945,,right,0.5,,11,0,11,0,1,,,,,stimuli/card_10_transparent.png,220,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,4.3041,,right,0.5,,12,0,12,0,1,,,,,stimuli/card_10_transparent.png,230,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,0.6999,,left,1.5,,13,0,13,0,1,,,,,stimuli/card_100_transparent.png,330,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,0.6153,,up,0.5,,14,0,14,0,1,,,,,stimuli/card_100_transparent.png,430,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,4707.9757,,,,,,4712.9715,space,4.6492,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717.6349,2,"[2,4,8,0,1,3,9,6,8,5]",4717.635,space,3.3781,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,"[15,15]","[[3,1,2],[3,1,2]]",4721.0363,,1.5,0.3,0,0,0,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726.5504,,0.5,0.3,1,0,1,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4732.0602,,1.5,0.3,2,0,2,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737.5962,,1.5,0.3,3,0,3,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4743.1127,,1,0.3,4,0,4,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748.6184,,1.5,0.3,5,0,5,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4754.1276,,1,0.3,6,0,6,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4759.638,,1.5,0.3,7,0,7,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765.15,,1,0.3,8,0,8,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770.6607,,1.5,0.3,9,0,9,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776.1743,,1,0.3,10,0,10,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4781.6836,,1,0.3,11,0,11,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787.1942,,0.5,0.3,12,0,12,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4792.7052,,0.5,0.3,13,0,13,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4798.219,,0.5,0.3,14,0,14,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,4803.7242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",4808.722,,1,0.3,0,0,0,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4814.229,,1,0.3,1,0,1,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4819.7391,,1,0.3,2,0,2,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.2508,,1.5,0.3,3,0,3,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830.7538,,0.5,0.3,4,0,4,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4836.2688,,0.5,0.3,5,0,5,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4841.7797,,1,0.3,6,0,6,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4847.2907,,0.5,0.3,7,0,7,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852.8001,,1.5,0.3,8,0,8,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858.3137,,1.5,0.3,9,0,9,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4863.8215,,0.5,0.3,10,0,10,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4869.3355,,1.5,0.3,11,0,11,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4874.8447,,1.5,0.3,12,0,12,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4880.3535,,1,0.3,13,0,13,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4885.8635,,0.5,0.3,14,0,14,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,4891.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,"[8,15]","[[3,2,1],[3,1,2]]",4896.3695,,0.5,0.3,0,0,0,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4901.8743,,0.5,0.3,1,0,1,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4907.3885,,1.5,0.3,2,0,2,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4912.8977,,1.5,0.3,3,0,3,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4918.412,,1,0.3,4,0,4,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4923.9201,,0.5,0.3,5,0,5,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4929.4282,,1.5,0.3,6,0,6,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4934.9387,,0.5,0.3,7,0,7,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940.4498,,1,0.3,8,0,8,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4945.9637,,0.5,0.3,9,0,9,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4951.4721,,0.5,0.3,10,0,10,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4956.9814,,0.5,0.3,11,0,11,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962.4898,,1,0.3,12,0,12,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968.0066,,1.5,0.3,13,0,13,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4973.5189,,1.5,0.3,14,0,14,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,4979.0224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,"[12,15]","[[2,1,3],[2,3,1]]",4984.0183,,1.5,0.3,0,0,0,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4989.5265,,1,0.3,1,0,1,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4995.0325,,0.5,0.3,2,0,2,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.5532,,1,0.3,3,0,3,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5006.0632,,1,0.3,4,0,4,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5011.5726,,1.5,0.3,5,0,5,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017.084,,1.5,0.3,6,0,6,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5022.6,,1,0.3,7,0,7,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5028.1155,,1,0.3,8,0,8,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5033.6188,,1,0.3,9,0,9,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5039.1334,,1.5,0.3,10,0,10,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5044.6447,,1.5,0.3,11,0,11,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050.1586,,1.5,0.3,12,0,12,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055.6687,,1,0.3,13,0,13,0,1,,,,,
,,,,,2023-10-27_17h11.22.237,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5061.1805,,1,0.3,14,0,14,0,1,,,,,
