key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
0.0003,j,1.6221,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,1.637,j,17.5616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,19.2153,j,35.3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,54.6378,h,5.3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,201.8189,j,2.4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",204.3212,0,2.5849,206.9331,left,1.5,"[2,1,3]",stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,,,,,,,208.7295,1,1.5998,210.3508,left,0.5,"[2,1,3]",stimuli/card_10_transparent.png,20,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,,,,,,,211.1513,2,1.3223,212.5023,up,1.5,"[2,1,3]",stimuli/card_100_transparent.png,120,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5f2c4bf4e4f3080e6a469fcc,C,2024-10-23_16h34.41.289,Slot Machine Game,2023.1.3,Win32,59.88023952,5f2c4bf4e4f3080e6a469fcc,67167c13dd87566d3602e731,67195dc9435e7e6c8247004d,,,,,,,,,,,,,,,,,,,214.3139,3,0.7014,215.0361,up,1,"[2,1,3]",stimuli/card_100_transparent.png,220,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
